表4-1　都道府県別交通事故発生状況（月中）,,,,,,,,,,,(令和6年11月中),
,,,,,,,,,,,,
,,,交通事故件数（速報値）,交通事故件数（速報値）,交通事故件数（速報値）,死者数（確定値）,死者数（確定値）,死者数（確定値）,死者数（確定値）,負傷者数（速報値）,負傷者数（速報値）,負傷者数（速報値）
地域コード,管区・支局,都道府県・方面本部,件,増減数,増減率,人,増減数,増減率,順位,人,増減数,増減率
,北海道,札幌,569,-74,-11.5,3,-5,-62.5,***,640,-112,-14.9
,北海道,函館,50,2,4.2,0,-2,-100.0,***,58,8,16.0
,北海道,旭川,64,-14,-17.9,1,-1,-50.0,***,73,-11,-13.1
,北海道,釧路,54,-37,-40.7,2,1,100.0,***,55,-46,-45.5
,北海道,北見,27,2,8.0,0,-2,-100.0,***,31,2,6.9
1,北海道,計,764,-121,-13.7,6,-9,-60.0,16,857,-159,-15.6
2,東北,青森,214,-49,-18.6,3,-4,-57.1,27,260,-42,-13.9
3,東北,岩手,119,-20,-14.4,3,-2,-40.0,27,132,-41,-23.7
4,東北,宮城,323,-53,-14.1,5,0,0.0,19,391,-56,-12.5
5,東北,秋田,78,-33,-29.7,1,-4,-80.0,43,90,-25,-21.7
6,東北,山形,203,-55,-21.3,1,-1,-50.0,43,245,-59,-19.4
7,東北,福島,313,49,18.6,4,-1,-20.0,21,394,81,25.9
,東北,計,"1,250",-161,-11.4,17,-12,-41.4,***,"1,512",-142,-8.6
13,東京,東京,"2,591",-162,-5.9,14,0,0.0,1,"2,837",-232,-7.6
8,関東,茨城,508,-50,-9.0,10,4,66.7,8,631,-45,-6.7
9,関東,栃木,399,35,9.6,8,4,100.0,11,464,44,10.5
10,関東,群馬,834,-71,-7.8,4,-1,-20.0,21,"1,037",-68,-6.2
11,関東,埼玉,"1,330",-156,-10.5,13,-2,-13.3,3,"1,543",-202,-11.6
12,関東,千葉,"1,137",-23,-2.0,13,-2,-13.3,3,"1,341",-61,-4.4
14,関東,神奈川,"1,824",-145,-7.4,7,-1,-12.5,13,"2,137",-129,-5.7
15,関東,新潟,227,-44,-16.2,4,0,0.0,21,250,-77,-23.5
19,関東,山梨,174,-28,-13.9,6,0,0.0,16,208,-53,-20.3
20,関東,長野,452,-37,-7.6,5,1,25.0,19,533,-37,-6.5
22,関東,静岡,"1,477",-223,-13.1,14,12,600.0,1,"1,794",-327,-15.4
,関東,計,"8,362",-742,-8.2,84,15,21.7,***,"9,938",-955,-8.8
16,中部,富山,161,-15,-8.5,2,0,0.0,34,186,-14,-7.0
17,中部,石川,154,-17,-9.9,2,0,0.0,34,166,-33,-16.6
18,中部,福井,98,-7,-6.7,2,0,0.0,34,111,-6,-5.1
21,中部,岐阜,265,-3,-1.1,10,7,233.3,8,327,19,6.2
23,中部,愛知,"2,290",89,4.0,11,0,0.0,5,"2,712",163,6.4
24,中部,三重,223,-62,-21.8,3,-3,-50.0,27,267,-77,-22.4
,中部,計,"3,191",-15,-0.5,30,4,15.4,***,"3,769",52,1.4
25,近畿,滋賀,266,-10,-3.6,2,-2,-50.0,34,328,-17,-4.9
26,近畿,京都,297,-25,-7.8,6,-4,-40.0,16,325,-33,-9.2
27,近畿,大阪,"2,049",-265,-11.5,11,-7,-38.9,5,"2,364",-306,-11.5
28,近畿,兵庫,"1,343",-144,-9.7,11,-2,-15.4,5,"1,568",-160,-9.3
29,近畿,奈良,216,-39,-15.3,3,1,50.0,27,256,-63,-19.7
30,近畿,和歌山,128,-9,-6.6,2,-2,-50.0,34,147,-9,-5.8
,近畿,計,"4,299",-492,-10.3,35,-16,-31.4,***,"4,988",-588,-10.5
31,中国,鳥取,41,-20,-32.8,3,0,0.0,27,44,-21,-32.3
32,中国,島根,50,-14,-21.9,0,-2,-100.0,47,59,-15,-20.3
33,中国,岡山,459,-52,-10.2,7,3,75.0,13,512,-80,-13.5
34,中国,広島,341,-71,-17.2,9,3,50.0,10,404,-55,-12.0
35,中国,山口,215,22,11.4,7,4,133.3,13,242,22,10.0
,中国,計,"1,106",-135,-10.9,26,8,44.4,***,"1,261",-149,-10.6
36,四国,徳島,176,-31,-15.0,3,0,0.0,27,212,-22,-9.4
37,四国,香川,241,-38,-13.6,1,0,0.0,43,283,-61,-17.7
38,四国,愛媛,170,-55,-24.4,4,0,0.0,21,177,-66,-27.2
39,四国,高知,68,-16,-19.0,1,-2,-66.7,43,74,-15,-16.9
,四国,計,655,-140,-17.6,9,-2,-18.2,***,746,-164,-18.0
40,九州,福岡,"1,688",-31,-1.8,8,1,14.3,11,"2,065",-127,-5.8
41,九州,佐賀,225,-42,-15.7,2,0,0.0,34,279,-65,-18.9
42,九州,長崎,209,-25,-10.7,3,2,200.0,27,250,-37,-12.9
43,九州,熊本,253,-64,-20.2,2,0,0.0,34,313,-96,-23.5
44,九州,大分,160,-25,-13.5,2,1,100.0,34,195,-43,-18.1
45,九州,宮崎,214,-75,-26.0,4,1,33.3,21,242,-74,-23.4
46,九州,鹿児島,221,-48,-17.8,4,0,0.0,21,245,-59,-19.4
47,九州,沖縄,243,-17,-6.5,2,1,100.0,34,286,-23,-7.4
,九州,計,"3,213",-327,-9.2,27,6,28.6,***,"3,875",-524,-11.9
0,全国,,"25,431","-2,295",-8.3,248,-6,-2.4,***,"29,783","-2,861",-8.8
,,,,,,,,,,,,
,,,,,,,,,,,,
